sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
269,PAI-612878,612878,,,Bangalore Metro Rail Project - PHASE-3,,Ministry of Housing & Urban Affairs,Urban Public Transport,Karnataka,,06/2026,05/2031,,15611.0,15611.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
270,PAI-702635,702635,N28000058,2472,Construction of Bangalore Metro Rail Project Phase 2.,,Ministry of Housing & Urban Affairs,Urban Public Transport,Karnataka,02/2014,02/2016,03/2021,09/2026,26405.14,30695.1,29802.97,95.5,16.25,97.09,4289.96,66.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
271,PAI-702665,702665,N28000151,2476,Construction Bangalore Metro Rail Project Phase-2A & 2B,,Ministry of Housing & Urban Affairs,Urban Public Transport,Karnataka,06/2021,01/2019,06/2026,06/2026,14788.1,14788.1,10276.44,65.0,0.0,69.49,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
272,PAI-702664,702664,N28000158,4736,Kochi Metro Rail Phase 2 Development Project,,Ministry of Housing & Urban Affairs,Urban Public Transport,Kerala,11/2022,11/2022,11/2026,11/2026,1957.05,1957.05,746.33,36.17,0.0,38.14,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
273,PAI-702625,702625,N28000124,3137,Bhopal Metro Rail Project,Madhya Pradesh Metro Rail Co Limited [MPMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Madhya Pradesh,11/2018,11/2018,11/2022,06/2028,6941.4,6941.4,4259.25,59.94,0.0,61.36,0.0,67.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
274,PAI-702626,702626,N28000125,3138,Indore Metro Rail Project,Madhya Pradesh Metro Rail Co Limited [MPMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Madhya Pradesh,11/2018,11/2018,11/2022,12/2028,7500.8,7500.8,4923.05,64.15,0.0,65.63,0.0,73.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
275,PAI-617225,617225,N28000157,7570,PCMC To Nigdi- Extension Of North South Corridor Of Phase-1,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,10/2023,10/2023,01/2027,,910.18,960.18,269.74,41.58,5.49,28.09,50.0,0.0,True,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
276,PAI-617226,617226,N28000160,7627,Pune Metro Phase-1 Extension line towards south from Swargate to Katraj,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,09/2024,09/2024,03/2029,,2954.53,2954.53,46.13,5.2,0.0,1.56,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
277,PAI-617327,617327,,7735,Thane Integral Ring Metro Rail Project,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,09/2024,09/2024,09/2029,,12200.1,12200.1,81.63,8.25,0.0,0.67,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
278,PAI-618971,618971,,10784,Pune Metro Rail Project Phase-2 Corridor 2A Vanaz to Chandani Chowk and Corridor 2B Ramwadi to Wagholi/Vitthalwadi,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,07/2025,07/2025,07/2029,,3626.24,3626.24,2.65,1.38,0.0,0.07,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
279,PAI-618985,618985,,10785,Pune Metro Rail Project Phase-2 Line-4 Kharadi to Khadakwasla with Spur Line 4A Nal Stop - Warje - Manikbaug,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,12/2025,12/2025,12/2030,,9857.85,9857.85,3.94,0.48,0.0,0.04,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
280,PAI-701745,701745,,,New Suburba Station Development Project,,Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,04/2018,03/2019,07/2022,,262.76,262.76,17.62,6.0,0.0,6.71,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
281,PAI-701991,701991,,,Kalyan Station Precinct Imporvement Project,,Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,04/2018,07/2020,07/2023,06/2026,600.0,723.7,492.82,82.0,20.62,68.1,123.7,35.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
282,PAI-702637,702637,N28000086,1384,Mumbai Metro Line 3,Mumbai Metro Rail Corporation Limited [MMRC],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,07/2013,06/2016,03/2023,08/2025,23136.0,37276.0,33526.69,97.79,61.12,89.94,14140.0,29.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
283,PAI-702658,702658,N28000155,5205,Nagpur Metro Rail Phase II Development Project,Maharashtra Metro Rail Corporation Limited [MMRCL],Ministry of Housing & Urban Affairs,Urban Public Transport,Maharashtra,12/2022,12/2022,12/2027,,6708.0,6708.0,1912.03,38.0,0.0,28.5,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
284,PAI-617206,617206,,7530,Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor],Delhi Metro Rail Corporation Limited [DMRC],Ministry of Housing & Urban Affairs,Urban Public Transport,"Multi-States (Delhi,
Haryana)",01/2025,01/2025,01/2029,,6230.99,6230.99,72.98,0.0,0.0,1.17,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
285,PAI-702668,702668,,4262,Chennai Metro Rail Phase-II Development Project,Chennai Metro Rail Limited [CMRL],Ministry of Housing & Urban Affairs,Urban Public Transport,Tamil Nadu,10/2024,11/2020,08/2029,,63246.0,63246.0,33129.33,52.55,0.0,52.38,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
286,PAI-619052,619052,,11609,LUCKNOW METRO RAIL PROJECT PHASE-1B EAST WEST CORRIDOR,Uttar Pradesh metro rail corporation [UPMRC],Ministry of Housing & Urban Affairs,Urban Public Transport,Uttar Pradesh,09/2025,05/2026,04/2031,,5801.05,5801.05,0.0,1.0,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
287,PAI-702628,702628,N28000144,3116,Kanpur Metro Rail Project,Uttar Pradesh metro rail corporation [UPMRC],Ministry of Housing & Urban Affairs,Urban Public Transport,Uttar Pradesh,05/2019,11/2019,05/2024,03/2027,11076.48,11076.5,9101.15,80.9,0.0,82.17,0.02,34.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:16.929722'}"
288,PAI-702629,702629,N28000145,3117,Agra Metro Rail Project,Uttar Pradesh metro rail corporation [UPMRC],Ministry of Housing & Urban Affairs,Urban Public Transport,Uttar Pradesh,05/2019,12/2020,05/2024,06/2027,8379.62,8379.62,6071.78,69.5,0.0,72.46,0.0,37.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
289,PAI-702674,702674,,,"ESR - 8 nos., distribution system - 216 Km, new house service connections - 38760 nos. upgrading of feeder mains, pumping station etc. - Phase II",,Ministry of Housing & Urban Affairs,Waste & Water,Andhra Pradesh,02/2017,07/2018,03/2023,06/2026,172.22,172.22,88.86,82.0,0.0,51.6,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
290,PAI-702699,702699,,,Muzaffarpur Storm Water Drainage Phase-I Project,,Ministry of Housing & Urban Affairs,Waste & Water,Bihar,11/2016,02/2019,10/2023,06/2026,158.78,158.78,135.72,84.0,0.0,85.48,0.0,32.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
291,PAI-702355,702355,,,Storm water drainag Development Project,,Ministry of Housing & Urban Affairs,Waste & Water,"Dadra & Nagar
Haveli and Daman
& Diu",08/2020,12/2021,03/2024,,210.0,210.0,0.0,20.0,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
292,PAI-702734,702734,,,Sewerage Management Scheme Part-3 Implementation,,Ministry of Housing & Urban Affairs,Waste & Water,Haryana,03/2017,11/2017,09/2023,09/2026,278.01,278.01,228.49,88.0,0.0,82.19,0.0,36.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
293,PAI-702741,702741,,,Dhanbad Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Jharkhand,02/2017,12/2018,03/2023,06/2026,216.55,216.55,129.16,76.0,0.0,59.64,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
294,PAI-702742,702742,,,SAAP-3 Water Supply Infrastructure SAAP-3 Project,,Ministry of Housing & Urban Affairs,Waste & Water,Jharkhand,02/2017,12/2018,10/2023,06/2026,159.31,159.31,87.5,67.0,0.0,54.92,0.0,32.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
295,PAI-702746,702746,,,Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3,,Ministry of Housing & Urban Affairs,Waste & Water,Jharkhand,02/2017,12/2018,03/2023,06/2026,278.28,278.28,186.5,81.0,0.0,67.02,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
296,PAI-702760,702760,,,Belgavi Improvement in Sewerage System Project,,Ministry of Housing & Urban Affairs,Waste & Water,Karnataka,12/2015,10/2016,07/2023,06/2026,162.73,162.73,79.5,80.0,0.0,48.85,0.0,35.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
297,PAI-702793,702793,,,Indore Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Madhya Pradesh,12/2016,11/2017,03/2023,06/2026,287.17,287.17,252.5,99.0,0.0,87.93,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.167088'}"
298,PAI-702808,702808,,,Satna Sewerage Management and Treatment Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Madhya Pradesh,11/2015,12/2016,03/2024,05/2026,191.56,215.89,200.32,96.0,12.7,92.79,24.33,26.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
299,PAI-702810,702810,,,Singrauli Sewerage Management and Treatment Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Madhya Pradesh,05/2016,11/2017,03/2023,06/2026,402.01,438.1,357.68,90.0,8.98,81.64,36.09,39.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
300,PAI-702833,702833,,,Kalyan-Dombivali Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Maharashtra,07/2016,09/2019,10/2023,06/2026,194.2,194.2,136.56,75.0,0.0,70.32,0.0,32.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
301,PAI-702840,702840,,,Mira-Bhayandar Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Maharashtra,11/2016,08/2018,03/2023,05/2026,204.55,204.55,186.13,99.0,0.0,90.99,0.0,38.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
302,PAI-702851,702851,,,Pune Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Maharashtra,03/2017,07/2017,03/2023,05/2026,235.95,235.95,220.77,95.0,0.0,93.57,0.0,38.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
303,PAI-702854,702854,,,Solapur Sewerage Management Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Maharashtra,03/2017,04/2018,03/2023,06/2026,180.24,180.24,172.22,98.0,0.0,95.55,0.0,39.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
304,PAI-703021,703021,,,Jalandhar Water Supply Infrastructure Project,,Ministry of Housing & Urban Affairs,Waste & Water,Punjab,11/2016,08/2020,08/2023,06/2026,258.53,266.64,161.02,58.0,3.14,60.39,8.11,34.0,True,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
305,PAI-703057,703057,,,Patiala Water Supply Infrastructure Part-2 Project,,Ministry of Housing & Urban Affairs,Waste & Water,Punjab,11/2016,08/2020,10/2023,06/2026,287.0,287.0,213.64,99.0,0.0,74.44,0.0,32.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:17.168097'}"
